datetime,open,high,low,close,
2022.01.03 01:00:00,0.91864,0.92004,0.91847,0.92001,
2022.01.03 02:00:00,0.92002,0.92019,0.91927,0.91932,
2022.01.03 03:00:00,0.91932,0.92027,0.91845,0.9187,
2022.01.03 04:00:00,0.9187,0.91935,0.9179,0.91907,
2022.01.03 05:00:00,0.91907,0.91944,0.9183,0.91898,
2022.01.03 06:00:00,0.91895,0.91901,0.9187,0.91892,
2022.01.03 07:00:00,0.91892,0.91924,0.91869,0.9187,
2022.01.03 08:00:00,0.9187,0.91977,0.91849,0.91953,
2022.01.03 09:00:00,0.91953,0.91997,0.91952,0.9198,
2022.01.03 10:00:00,0.9198,0.92043,0.91943,0.9201,
2022.01.03 11:00:00,0.9201,0.92026,0.91976,0.91996,
2022.01.03 12:00:00,0.91996,0.92031,0.91929,0.91932,
2022.01.03 13:00:00,0.91935,0.91952,0.91884,0.91926,
2022.01.03 14:00:00,0.91926,0.91926,0.91828,0.91864,
2022.01.03 15:00:00,0.91865,0.91987,0.91809,0.91844,
2022.01.03 16:00:00,0.9184,0.91901,0.91675,0.91675,
2022.01.03 17:00:00,0.9168,0.91845,0.91626,0.9179,
2022.01.03 18:00:00,0.9179,0.91807,0.91701,0.91762,
2022.01.03 19:00:00,0.91762,0.91816,0.91717,0.9179,
2022.01.03 20:00:00,0.91789,0.9181,0.9174,0.9175,
2022.01.03 21:00:00,0.91748,0.9177,0.91652,0.91658,
2022.01.03 22:00:00,0.91658,0.91707,0.91625,0.9165,
2022.01.03 23:00:00,0.9165,0.91694,0.9161,0.9165,
2022.01.04 00:00:00,0.91568,0.9167,0.91565,0.91619,
2022.01.04 01:00:00,0.9162,0.91768,0.91592,0.91754,
2022.01.04 02:00:00,0.91754,0.91785,0.91704,0.91746,
2022.01.04 03:00:00,0.91746,0.91824,0.91704,0.91819,
2022.01.04 04:00:00,0.91819,0.91833,0.91753,0.91771,
2022.01.04 05:00:00,0.91772,0.91831,0.9176,0.91792,
2022.01.04 06:00:00,0.91791,0.91878,0.91791,0.91801,
2022.01.04 07:00:00,0.91801,0.91843,0.91771,0.91774,
2022.01.04 08:00:00,0.91774,0.91824,0.91728,0.91789,
2022.01.04 09:00:00,0.91787,0.91804,0.91726,0.9175,
2022.01.04 10:00:00,0.91751,0.91928,0.91748,0.91875,
2022.01.04 11:00:00,0.91874,0.9194,0.91863,0.91919,
2022.01.04 12:00:00,0.91918,0.91946,0.91845,0.91868,
2022.01.04 13:00:00,0.91866,0.91873,0.91769,0.9179,
2022.01.04 14:00:00,0.91787,0.9182,0.91672,0.91731,
2022.01.04 15:00:00,0.91731,0.91765,0.91659,0.91748,
2022.01.04 16:00:00,0.91749,0.91773,0.9166,0.91706,
2022.01.04 17:00:00,0.91716,0.91879,0.9163,0.91846,
2022.01.04 18:00:00,0.91845,0.91989,0.9184,0.9196,
2022.01.04 19:00:00,0.91958,0.91987,0.91887,0.91899,
2022.01.04 20:00:00,0.91895,0.91984,0.91895,0.91977,
2022.01.04 21:00:00,0.91976,0.92031,0.91935,0.92012,
2022.01.04 22:00:00,0.92015,0.92051,0.9199,0.92024,
2022.01.04 23:00:00,0.92024,0.92038,0.91948,0.91966,
2022.01.05 00:00:00,0.91918,0.91978,0.91777,0.91867,
2022.01.05 01:00:00,0.91868,0.9199,0.91868,0.91964,
2022.01.05 02:00:00,0.91964,0.92021,0.91902,0.91951,
2022.01.05 03:00:00,0.91949,0.92005,0.91905,0.9194,
2022.01.05 04:00:00,0.9194,0.92021,0.9192,0.91946,
2022.01.05 05:00:00,0.91946,0.9199,0.91902,0.91978,
2022.01.05 06:00:00,0.91978,0.9199,0.91933,0.91953,
2022.01.05 07:00:00,0.91953,0.91965,0.91895,0.91939,
2022.01.05 08:00:00,0.91939,0.91949,0.91905,0.91935,
2022.01.05 09:00:00,0.91938,0.92007,0.91915,0.91977,
2022.01.05 10:00:00,0.91979,0.92108,0.91958,0.92036,
2022.01.05 11:00:00,0.92035,0.92145,0.92034,0.92133,
2022.01.05 12:00:00,0.92133,0.92229,0.92122,0.92204,
2022.01.05 13:00:00,0.92205,0.92375,0.9217,0.92322,
2022.01.05 14:00:00,0.92326,0.92392,0.92279,0.92292,
2022.01.05 15:00:00,0.92292,0.92351,0.92222,0.92223,
2022.01.05 16:00:00,0.92223,0.92317,0.92223,0.92273,
2022.01.05 17:00:00,0.92273,0.92392,0.92245,0.92334,
2022.01.05 18:00:00,0.92334,0.92339,0.92196,0.92205,
2022.01.05 19:00:00,0.92205,0.9232,0.92205,0.92302,
2022.01.05 20:00:00,0.923,0.923,0.92209,0.92219,
2022.01.05 21:00:00,0.92219,0.92273,0.92074,0.9213,
2022.01.05 22:00:00,0.92133,0.92191,0.92088,0.92168,
2022.01.05 23:00:00,0.92168,0.9217,0.9208,0.92105,
2022.01.06 00:00:00,0.9208,0.92103,0.92026,0.92093,
2022.01.06 01:00:00,0.92093,0.92138,0.92067,0.92136,
