Price,Close,High,Low,Open,Volume
Ticker,CAT,CAT,CAT,CAT,CAT
Date,,,,,
2018-01-02,133.35386657714844,135.34942448457087,132.49620815594074,134.42383079871402,5108400
2018-01-03,133.55772399902344,133.73605575732904,131.9612770559647,133.353918126293,4146100
2018-01-04,135.39187622070312,135.51075968623255,133.33688319807956,134.0756580940606,4865800
2018-01-05,137.5317840576172,137.60820636186307,135.56170049933326,136.08818253834954,3945400
2018-01-08,140.9879150390625,141.32757838850725,138.03280243544936,139.35750763854054,5929200
2018-01-09,141.3275909423828,142.1597882498996,140.18970436760767,141.2426815761424,4522900
2018-01-10,140.85205078125,142.26167836306368,139.68869015246463,140.87752488572508,5478600
2018-01-11,143.6798095703125,143.96003770919538,140.65676122211428,141.72671260548935,4199000
2018-01-12,144.6138916015625,144.9280808723272,143.70527198662086,144.350650541481,4127900
2018-01-16,143.773193359375,147.1104433672212,142.29564356303976,146.82171527237293,8530600
2018-01-17,143.08541870117188,144.45258553465138,143.08541870117188,143.78174565264882,5571400
2018-01-18,143.3656005859375,145.00449507204146,142.7372091222537,143.79018626096877,4668800
2018-01-19,145.37890625,145.41302502278555,143.84330112537316,144.713479532239,5796700
2018-01-22,145.78839111328125,145.80545700776244,143.73238691332264,145.30212376900644,3540900
2018-01-23,144.54287719726562,146.77804130280285,144.34666492294187,146.73538306469771,5036500
2018-01-24,143.613037109375,147.1193320066924,143.04145297017362,146.22356076683576,8241000
2018-01-25,144.49169921875,147.67381908092662,138.59670013531266,147.67381908092662,16937100
2018-01-26,142.52098083496094,144.17602126841038,140.3796730160191,144.0139278007581,9045300
2018-01-29,138.69906616210938,141.514340712829,136.00322687027037,141.25840429595144,9496800
2018-01-30,139.70574951171875,140.51621709770197,136.33595650528247,136.7795788127467,8694800
2018-01-31,138.8696746826172,141.43753904614692,138.11040495270535,140.5076493915012,7014000
2018-02-01,138.4089813232422,139.68865011611345,136.6515585796958,137.55586879466134,4323600
2018-02-02,134.35675048828125,137.18055200320407,133.53775640596962,137.1549596585196,7602800
2018-02-05,128.88827514648438,135.58520238788006,121.86716089622357,132.17275140603235,11390500
