Price,Close,High,Low,Open,Volume
Ticker,LRCX,LRCX,LRCX,LRCX,LRCX
Date,,,,,
2018-01-02,11.296428680419922,11.310752232385825,10.973553986022033,11.049945883731622,20373000
2018-01-03,11.488604545593262,11.5673835299784,11.316723021632418,11.37998548525124,25833000
2018-01-04,11.541123390197754,11.748216748409922,11.527397456238592,11.637807102324256,22272000
2018-01-05,11.721358299255371,11.767910130159397,11.60498042948391,11.631836948533149,17130000
2018-01-08,11.809690475463867,11.905776581538968,11.712410265310188,11.7171844049723,27627000
2018-01-09,11.791186332702637,11.921291281951953,11.540525849482473,11.829979338218779,29550000
2018-01-10,11.438474655151367,11.651536294941662,11.356710965996225,11.598419721135386,35108000
2018-01-11,11.286881446838379,11.507700711577936,11.244507269681627,11.462342982552066,28164000
2018-01-12,11.250476837158203,11.421761875764435,11.237943868845008,11.286882776539908,27881000
2018-01-16,11.362678527832031,11.6867474355651,11.243913555000224,11.469508151923348,42511000
2018-01-17,12.239391326904297,12.274006678332439,11.563205269334413,11.60975596752582,64971000
2018-01-18,12.261475563049316,12.315188615739954,11.921890137739457,12.115256444430127,41988000
2018-01-19,12.38560962677002,12.386802592206678,12.121222076848266,12.285344752126697,26150000
2018-01-22,12.484682083129883,12.523473954922661,12.36591598325232,12.437533760523362,28231000
2018-01-23,12.835603713989258,12.83978136937652,12.533020801425204,12.594492666881063,43397000
2018-01-24,12.516907691955566,12.783085831603813,12.327719080290835,12.783085831603813,54649000
2018-01-25,11.891451835632324,13.039118924586043,11.876531796934957,12.891110364919637,82788000
2018-01-26,12.089593887329102,12.319366134982863,11.952924187412798,12.052591461370186,47616000
2018-01-29,11.695694923400879,12.07228264184802,11.535152304974655,12.010214297957125,40060000
2018-01-30,11.403857231140137,11.655114220352498,11.294640550519546,11.46473148649005,37946000
2018-01-31,11.43011474609375,11.56797736808652,11.354319331302332,11.513071367680283,28384000
2018-02-01,11.286284446716309,11.585883840187753,11.231974920769485,11.339401007180168,30535000
2018-02-02,10.686491966247559,11.14961649184619,10.645311884206752,11.14305176569821,55276000
2018-02-05,10.166668891906738,10.915666862720059,10.164878305221862,10.474025999097153,58953000
2018-02-06,10.64352035522461,10.682909846951786,9.985835481434714,10.056259152653784,58903000
2018-02-07,10.243061065673828,10.70857377410798,10.241270478943665,10.493721579703609,34033000
2018-02-08,9.682058334350586,10.32900082126201,9.680865368798505,10.304532505859353,49344000
2018-02-09,9.899295806884766,9.984043017187778,9.359778940573866,9.896312255215781,59371000
2018-02-12,10.32183837890625,10.413150319063295,9.982849517195282,10.050886110284521,41507000
2018-02-13,10.298564910888672,10.30871081034907,10.03358083594319,10.239480100892944,28416000
2018-02-14,10.922229766845703,10.927003904991908,10.20546019924408,10.229332028300846,58370000
2018-02-15,11.083368301391602,11.0875459570613,10.690071047397344,10.919843247556518,41792000
2018-02-16,11.214668273925781,11.411615727635532,11.020107889605562,11.026672615008238,43356000
2018-02-20,11.544705390930176,11.700472782839887,11.125148022740332,11.15618220455717,32965000
2018-02-21,11.293447494506836,11.637807019825015,11.291656907845308,11.610950496553922,32713000
2018-02-22,11.241523742675781,11.365660445899923,11.156180043790629,11.348949823414042,17529000
2018-02-23,11.524412155151367,11.558431023507532,11.256444555841231,11.35372474559695,22273000
2018-02-26,11.842511177062988,11.874738316196183,11.527395301134627,11.612142511806354,23631000
2018-02-27,11.546494483947754,11.923678756209133,11.540526241486711,11.82580208416492,28223000
2018-02-28,11.450408935546875,11.737474239934699,11.4187771351871,11.604385727956021,36083000
2018-03-01,11.34357738494873,11.676000366635474,11.227199517224655,11.488005874923838,30036000
2018-03-02,11.60975456237793,11.631240460603072,10.871500237687737,11.043978214544717,27758000
2018-03-05,11.858627319335938,11.937406301627925,11.413406431334028,11.508299555077992,32924000
2018-03-06,12.730424880981445,12.825930698522154,12.214326338297777,12.252895793277904,76363000
2018-03-07,12.963066101074219,13.001023674833908,12.497781634123134,12.601246558228754,56256000
2018-03-08,13.024286270141602,13.158973400618086,12.914699057905429,13.101425167510984,37804000
2018-03-09,13.771803855895996,13.840983650875629,13.097752758508353,13.118568352075751,66568000
2018-03-12,13.998324394226074,14.080973727971957,13.652421886558447,13.80547594881901,49288000
2018-03-13,13.711801528930664,14.37973011800248,13.617520674800398,14.083416860377016,49462000
